subject, predicate, object, confidence, evidence_count, pmids, sentences
"CHEMBL116438", "UPREGULATES", "ENSEMBL:ENSG00000164305", 1.0, 3, ["10069393", "11676493", "22508043"], ["Curcumin induced apoptosis is mediated through the activation of caspase-3, which is specifically inhibited by the tetrapeptide Ac-DEVD-CHO. ", "Probing further into the molecular signals leading to apoptosis of EAC cells, we observed that curcumin is causing tumor cell death by the up-regulation of the proto-oncoprotein Bax, release of cytochrome c from the mitochondria, and activation of caspase-3. ", "The combination of curcumin (10 μM) and trolox (10-50 μM) induced apoptosis of cancer cells as evidenced by PARP cleavage and caspase-3 activation. "]
"CHEMBL15980", "UPREGULATES", "ENSEMBL:ENSG00000080166", 0.997, 1, ["10080955"], ["In melanoma cells treated with hexamethylene bisacetamide (HMBA), transcription of TRP-1 gene was selectively and completely inhibited while steady state levels of tyrosinase, TRP-2, MITF mRNA and melanin content showed a modest increase. "]
"CHEMBL19236", "UPREGULATES", "ENSEMBL:ENSG00000254647", 0.9991, 1, ["10321452"], ["In a recent study, the data indicate that also moxonidine, an imidazoline1 receptor agonist, is effective in lowering blood pressure and improving insulin sensitivity in insulin-resistant patients. "]
"CHEMBL11359", "UPREGULATES", "ENSEMBL:ENSG00000078900", 1.0, 3, ["10391249", "16773194", "16773194"], ["The half-life of p73 is prolonged by cisplatin and by co-expression with c-Abl tyrosine kinase; the apoptosis-inducing function of p73 is also enhanced by the c-Abl kinase. ", "Results showed that cisplatin induced a dose-dependent up-regulation of p53, p73, and a number of p53-responsive genes. ", "Collectively, our results suggest that wt-p53 SH-SY5Y cells respond to cisplatin by inducing p73 isoform regulation and sustaining p53-dependent apoptosis that is independent of TAp73alpha."]
"CHEMBL1738", "UPREGULATES", "ENSEMBL:ENSG00000131747", 1.0, 1, ["10416608"], ["Human small cell lung cancer NYH cells selected for resistance to ICRF-187 (NYH/187) showed a 25% increase in topoisomerase IIalpha level and no change in expression of the beta isoform. "]
"CHEMBL3", "UPREGULATES", "ENSEMBL:ENSG00000138435", 0.9591, 1, ["10426574"], ["In conclusion, nicotine increases D2 activity probably via nicotinic acetylcholine receptors, and may influence brain function, at least in part, by affecting thyroid hormone metabolism."]
"CHEMBL1440", "UPREGULATES", "ENSEMBL:ENSG00000100906", 0.9999, 3, ["10454561", "10454561", "10454561"], ["In previous studies, tetracycline-inducible expression of transdominant repressors of IkappaBalpha (TD-IkappaBalpha) progressively decreased endogenous IkappaBalpha protein levels. ", "In previous studies, tetracycline-inducible expression of transdominant repressors of IkappaBalpha (TD-IkappaBalpha) progressively decreased endogenous IkappaBalpha protein levels. ", "In previous studies, tetracycline-inducible expression of transdominant repressors of IkappaBalpha (TD-IkappaBalpha) progressively decreased endogenous IkappaBalpha protein levels. "]
"CHEMBL27769", "UPREGULATES", "ENSEMBL:ENSG00000123374", 1.0, 3, ["10473102", "10473102", "10473102"], ["In this study, we provide the first direct evidence showing that dihydrotestosterone (DHT), a major proliferation regulator of prostate cancer, can down-regulate p27Kip1 and stimulate cyclin-dependent kinase-2 (CDK2) activity in established prostate cancer cell lines. ", "In this study, we provide the first direct evidence showing that dihydrotestosterone (DHT), a major proliferation regulator of prostate cancer, can down-regulate p27Kip1 and stimulate cyclin-dependent kinase-2 (CDK2) activity in established prostate cancer cell lines. ", "Stimulation of cell proliferation by DHT and/or EGF was associated with increased CDK2 activity and a decreased level of p27Kip1. "]
"CHEMBL2108314", "UPREGULATES", "ENSEMBL:ENSG00000123374", 1.0, 1, ["10473102"], ["Stimulation of cell proliferation by DHT and/or EGF was associated with increased CDK2 activity and a decreased level of p27Kip1. "]
"CHEMBL3039582", "UPREGULATES", "ENSEMBL:ENSG00000080293", 0.6638, 1, ["10547242"], ["The observed increase in pancreatico-biliary secretion after secretin infusion suggests an upregulation of secretin receptors in the pancreas and liver. "]
